dataset,method,n_genes,classifier,accuracy_mean,accuracy_std,time_selection
ascendens_baseline,FE3,7,NaiveBayes,0.35619047619047617,0.1109595337976398,0.0
ascendens_baseline,FE3,7,DTree,0.3714285714285714,0.12519372742975224,0.0
ascendens_baseline,FE3,7,RF,0.32857142857142857,0.1588507478443301,0.0
ascendens_baseline,FE3,7,SVM,0.34380952380952384,0.10170429770828567,0.0
ascendens_baseline,FE3,10,kNN-1,0.35428571428571426,0.12896236860808197,0.0
ascendens_baseline,FE3,10,kNN-3,0.34095238095238095,0.06831964355985128,0.0
ascendens_baseline,FE3,10,NaiveBayes,0.39714285714285713,0.07988654085908865,0.0
ascendens_baseline,FE3,10,DTree,0.2457142857142857,0.049358699123237856,0.0
ascendens_baseline,FE3,10,RF,0.3142857142857143,0.06605158432152268,0.0
ascendens_baseline,FE3,10,SVM,0.4514285714285714,0.1014363958529093,0.0
ascendens_baseline,FE3,15,kNN-1,0.35523809523809524,0.043183939233351,0.0
ascendens_baseline,FE3,15,kNN-3,0.3961904761904762,0.0581966328283893,0.0
ascendens_baseline,FE3,15,NaiveBayes,0.4257142857142858,0.08579890003470635,0.0
ascendens_baseline,FE3,15,DTree,0.47714285714285715,0.10285714285714284,0.0
ascendens_baseline,FE3,15,RF,0.39619047619047615,0.11544648611570031,0.0
ascendens_baseline,FE3,15,SVM,0.4647619047619048,0.13966594418010003,0.0
ascendens_baseline,FE3,20,kNN-1,0.42285714285714276,0.10968518132486071,0.0
ascendens_baseline,FE3,20,kNN-3,0.3971428571428572,0.0765230835299073,0.0
ascendens_baseline,FE3,20,NaiveBayes,0.4238095238095238,0.07630943094861002,0.0
ascendens_baseline,FE3,20,DTree,0.4914285714285714,0.0664213172349055,0.0
ascendens_baseline,FE3,20,RF,0.4342857142857143,0.12842672633171484,0.0
ascendens_baseline,FE3,20,SVM,0.4780952380952381,0.08845358263620041,0.0
ascendens_baseline,FE3,25,kNN-1,0.5047619047619047,0.08064366906672969,0.0
ascendens_baseline,FE3,25,kNN-3,0.44000000000000006,0.04898979485566354,0.0
ascendens_baseline,FE3,25,NaiveBayes,0.4514285714285714,0.11766434446842286,0.0
ascendens_baseline,FE3,25,DTree,0.4666666666666667,0.055777335102271695,0.0
ascendens_baseline,FE3,25,RF,0.4647619047619048,0.05921634878746595,0.0
ascendens_baseline,FE3,25,SVM,0.5066666666666666,0.10624918300339484,0.0
ascendens_baseline,FE3,30,kNN-1,0.4904761904761904,0.08634687205061436,0.0
ascendens_baseline,FE3,30,kNN-3,0.4533333333333333,0.0639160447069048,0.0
ascendens_baseline,FE3,30,NaiveBayes,0.4504761904761905,0.10465795708812306,0.0
ascendens_baseline,FE3,30,DTree,0.4819047619047619,0.13286994305977362,0.0
ascendens_baseline,FE3,30,RF,0.4514285714285714,0.09225814124428446,0.0
ascendens_baseline,FE3,30,SVM,0.4780952380952381,0.08845358263620041,0.0
ascendens_baseline,FE4,1,kNN-1,0.5228571428571428,0.13300640190549404,0.0
ascendens_baseline,FE4,1,kNN-3,0.38571428571428573,0.1306533382068001,0.0
ascendens_baseline,FE4,1,NaiveBayes,0.46571428571428564,0.047847073093639884,0.0
ascendens_baseline,FE4,1,DTree,0.5228571428571428,0.13300640190549404,0.0
ascendens_baseline,FE4,1,RF,0.5228571428571428,0.13300640190549404,0.0
ascendens_baseline,FE4,1,SVM,0.4276190476190476,0.10329711895585712,0.0
ascendens_baseline,FE4,2,kNN-1,0.35619047619047617,0.05132264222974278,0.0
ascendens_baseline,FE4,2,kNN-3,0.3971428571428572,0.047960679283863515,0.0
ascendens_baseline,FE4,2,NaiveBayes,0.3980952380952381,0.10180235174524054,0.0
ascendens_baseline,FE4,2,DTree,0.4914285714285714,0.09871739824647571,0.0
ascendens_baseline,FE4,2,RF,0.439047619047619,0.05749100294394884,0.0
ascendens_baseline,FE4,2,SVM,0.49428571428571433,0.058584977139922646,0.0
ascendens_baseline,FE4,3,kNN-1,0.5771428571428572,0.10125740083811058,0.0
ascendens_baseline,FE4,3,kNN-3,0.48,0.11274356350191841,0.0
ascendens_baseline,FE4,3,NaiveBayes,0.4257142857142857,0.08267632157794555,0.0
ascendens_baseline,FE4,3,DTree,0.3980952380952381,0.10180235174524054,0.0
ascendens_baseline,FE4,3,RF,0.46761904761904755,0.17207286333058036,0.0
ascendens_baseline,FE4,3,SVM,0.46571428571428564,0.047847073093639884,0.0
ascendens_baseline,FE4,5,kNN-1,0.5028571428571429,0.1458293974201616,0.0
ascendens_baseline,FE4,5,kNN-3,0.4780952380952381,0.10667516972911123,0.0
ascendens_baseline,FE4,5,NaiveBayes,0.4523809523809524,0.13037535206588652,0.0
ascendens_baseline,FE4,5,DTree,0.3704761904761905,0.10161507556837439,0.0
ascendens_baseline,FE4,5,RF,0.46571428571428564,0.11382446604440885,0.0
ascendens_baseline,FE4,5,SVM,0.5057142857142857,0.1386818411372754,0.0
ascendens_baseline,FE4,7,kNN-1,0.5619047619047619,0.10639420985728716,0.0
ascendens_baseline,FE4,7,kNN-3,0.5342857142857143,0.11382446604440885,0.0
ascendens_baseline,FE4,7,NaiveBayes,0.39714285714285713,0.09968658368098686,0.0
ascendens_baseline,FE4,7,DTree,0.49428571428571433,0.13483508025070165,0.0
ascendens_baseline,FE4,7,RF,0.5485714285714286,0.09746910668191032,0.0
ascendens_baseline,FE4,7,SVM,0.5619047619047619,0.11558782036913348,0.0
ascendens_baseline,FE4,10,kNN-1,0.5361904761904761,0.10756425069329906,0.0
ascendens_baseline,FE4,10,kNN-3,0.4923809523809524,0.10255688095978517,0.0
ascendens_baseline,FE4,10,NaiveBayes,0.47714285714285704,0.1730190767141863,0.0
ascendens_baseline,FE4,10,DTree,0.45809523809523817,0.20154505244055312,0.0
ascendens_baseline,FE4,10,RF,0.6304761904761904,0.17242041116393686,0.0
ascendens_baseline,FE4,10,SVM,0.5599999999999999,0.08793937305515277,0.0
ascendens_baseline,FE4,15,kNN-1,0.44000000000000006,0.07885806302660743,0.0
ascendens_baseline,FE4,15,kNN-3,0.3704761904761905,0.10161507556837439,0.0
ascendens_baseline,FE4,15,NaiveBayes,0.4514285714285714,0.06455147886792588,0.0
ascendens_baseline,FE4,15,DTree,0.49523809523809526,0.17809778455016784,0.0
ascendens_baseline,FE4,15,RF,0.478095238095238,0.11809523809523809,0.0
ascendens_baseline,FE4,15,SVM,0.4923809523809524,0.08653574622171845,0.0
ascendens_baseline,FE4,20,kNN-1,0.49333333333333335,0.06463573143221771,0.0
ascendens_baseline,FE4,20,kNN-3,0.41142857142857137,0.1602322577299389,0.0
ascendens_baseline,FE4,20,NaiveBayes,0.4247619047619048,0.051410931719107725,0.0
ascendens_baseline,FE4,20,DTree,0.4390476190476191,0.10206040628281002,0.0
ascendens_baseline,FE4,20,RF,0.4523809523809524,0.0726561185628977,0.0
